%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 125 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 61.00 2.40 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 125 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.90000 64.00 1.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 125 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 64.00 0.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 125 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 63.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 125 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 63.00 0.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 125 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 65.00 0.70 -999.00 -999.00 11.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 11.50 0.40 -999.00
2023 125 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 64.00 0.50 -999.00 -999.00 60.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 58.80 8.90 -999.00
2023 125 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 61.00 0.70 -999.00 -999.00 189.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 134.40 176.60 -999.00
2023 125 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.00000 55.00 2.30 -999.00 -999.00 369.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 198.20 423.90 -999.00
2023 125 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 50.00 3.20 -999.00 -999.00 427.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 186.90 468.20 -999.00
2023 125 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 47.00 3.60 -999.00 -999.00 282.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 214.40 114.80 -999.00
2023 125 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 45.00 3.50 -999.00 -999.00 280.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 266.60 20.90 -999.00
2023 125 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.60000 49.00 3.10 -999.00 -999.00 225.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 223.80 2.20 -999.00
2023 125 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.30000 41.00 4.40 -999.00 -999.00 457.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 440.00 27.40 -999.00
2023 125 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.60000 39.00 5.10 -999.00 -999.00 389.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 371.10 28.50 -999.00
2023 125 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 37.00 5.00 -999.00 -999.00 302.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 296.50 11.80 -999.00
2023 125 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 36.00 5.40 -999.00 -999.00 268.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 252.20 30.10 -999.00
